Wert von x,Ergebnis mit eigener Methode,Ergebnis mit Java-Methode,Differenz
0.0,0.0,0.0,0.0
0.3141592653589793,0.3090169942928752,0.3090169943749474,8.20721823835413E-11
0.6283185307179586,0.5877852103843443,0.5877852522924731,4.190812885607187E-8
0.9424777960769379,0.8090153904799282,0.8090169943749475,1.6038950192420742E-6
1.2566370614359172,0.951035288276224,0.9510565162951535,2.1228018929564385E-5
1.5707963267948966,0.9998431013994987,1.0,1.5689860050127624E-4
1.8849555921538759,0.9502548158759504,0.9510565162951536,8.01700419203244E-4
2.199114857512855,0.805843433310858,0.8090169943749475,0.003173561064089503
2.5132741228718345,0.5773680514538426,0.5877852522924732,0.010417200838630625
2.827433388230814,0.27939076882746566,0.3090169943749475,0.029626225547481844
3.141592653589793,-0.07522061590362306,1.2246467991473532E-16,0.07522061590362318
3.4557519189487724,-0.4832061391457534,-0.3090169943749473,0.1741891447708061
3.7699111843077517,-0.9615454714942988,-0.587785252292473,0.3737602192018258
4.084070449666731,-1.5611100100795317,-0.8090169943749473,0.7520930157045843
4.39822971502571,-2.383637293463014,-0.9510565162951535,1.4325807771678605
4.71238898038469,-3.602329768407337,-1.0,2.602329768407337
5.026548245743669,-5.486379937841956,-0.9510565162951536,4.535323421546803
5.340707511102648,-8.42972391934791,-0.8090169943749476,7.620706924972963
5.654866776461628,-12.984325443484256,-0.5877852522924734,12.396540191191782
5.969026041820607,-19.898292321278873,-0.3090169943749476,19.589275326903927
6.283185307179586,-30.159127410206487,-2.4492935982947064E-16,30.159127410206487
